date,open,high,low,close,volume
2024-06-03 09:15:00+05:30,1440.0,1440.0,1422.5,1426.05,608537
2024-06-03 09:20:00+05:30,1425.35,1426.7,1418.45,1421.45,334479
2024-06-03 09:25:00+05:30,1421.85,1422.25,1415.75,1418.85,150139
2024-06-03 09:30:00+05:30,1419.0,1419.15,1413.05,1414.5,153774
2024-06-03 09:35:00+05:30,1414.55,1415.05,1410.6,1410.8,197865
2024-06-03 09:40:00+05:30,1410.65,1413.4,1410.5,1411.55,109628
2024-06-03 09:45:00+05:30,1411.35,1411.5,1405.7,1411.3,213022
2024-06-03 09:50:00+05:30,1411.2,1412.95,1410.3,1412.3,100998
2024-06-03 09:55:00+05:30,1412.2,1416.0,1411.7,1415.5,98795
2024-06-03 10:00:00+05:30,1415.45,1417.45,1408.05,1409.65,957286
2024-06-03 10:05:00+05:30,1409.65,1410.0,1409.05,1409.7,173145
2024-06-03 10:10:00+05:30,1409.95,1410.0,1408.8,1409.2,130579
2024-06-03 10:15:00+05:30,1409.2,1410.0,1409.1,1409.9,166843
2024-06-03 10:20:00+05:30,1410.0,1410.0,1408.6,1409.05,170291
2024-06-03 10:25:00+05:30,1409.25,1409.5,1407.5,1409.45,79175
2024-06-03 10:30:00+05:30,1409.5,1410.0,1408.8,1410.0,104249
2024-06-03 10:35:00+05:30,1409.85,1410.0,1408.35,1409.85,226496
2024-06-03 10:40:00+05:30,1409.85,1412.4,1409.7,1410.3,257445
2024-06-03 10:45:00+05:30,1410.2,1410.4,1409.5,1409.75,60899
2024-06-03 10:50:00+05:30,1409.75,1410.2,1409.05,1409.95,57467
2024-06-03 10:55:00+05:30,1409.95,1410.0,1406.7,1406.7,112147
2024-06-03 11:00:00+05:30,1406.7,1407.65,1406.0,1406.65,78152
2024-06-03 11:05:00+05:30,1406.6,1407.2,1406.25,1406.7,62698
2024-06-03 11:10:00+05:30,1406.7,1408.2,1406.65,1407.55,46923
2024-06-03 11:15:00+05:30,1407.55,1408.15,1405.6,1406.05,178397
2024-06-03 11:20:00+05:30,1406.1,1408.85,1406.0,1408.85,65262
2024-06-03 11:25:00+05:30,1408.75,1408.85,1408.0,1408.15,55373
2024-06-03 11:30:00+05:30,1408.1,1409.0,1408.0,1408.85,35483
2024-06-03 11:35:00+05:30,1408.7,1409.45,1408.05,1409.3,36779
2024-06-03 11:40:00+05:30,1409.4,1410.0,1408.55,1410.0,141953
2024-06-03 11:45:00+05:30,1410.0,1410.0,1409.2,1409.85,130940
2024-06-03 11:50:00+05:30,1409.8,1410.0,1409.15,1409.7,85154
2024-06-03 11:55:00+05:30,1409.7,1409.95,1408.1,1408.25,63102
2024-06-03 12:00:00+05:30,1408.25,1410.0,1408.2,1409.95,235980
2024-06-03 12:05:00+05:30,1409.65,1410.3,1409.4,1409.95,291335
2024-06-03 12:10:00+05:30,1409.95,1410.0,1408.25,1408.25,70163
2024-06-03 12:15:00+05:30,1408.35,1409.55,1408.0,1408.75,61625
2024-06-03 12:20:00+05:30,1408.8,1409.95,1408.4,1409.1,63395
2024-06-03 12:25:00+05:30,1409.15,1409.75,1408.3,1408.8,59941
2024-06-03 12:30:00+05:30,1408.5,1409.8,1408.5,1409.3,467862
