date,open,high,low,close,volume,sma,upper_band,lower_band,band_width
2024-05-31 09:15:00+05:30,1409.8,1414.15,1405.1,1413.3,640646,,,,
2024-05-31 09:20:00+05:30,1414.0,1414.75,1409.7,1411.2,564481,,,,
2024-05-31 09:25:00+05:30,1411.25,1415.45,1410.4,1413.45,484983,,,,
2024-05-31 09:30:00+05:30,1412.95,1414.7,1412.6,1414.3,610608,,,,
2024-05-31 09:35:00+05:30,1414.3,1414.3,1407.65,1409.8,239481,,,,
2024-05-31 09:40:00+05:30,1409.65,1409.85,1406.5,1406.8,176826,,,,
2024-05-31 09:45:00+05:30,1406.95,1407.15,1405.0,1405.75,202870,,,,
2024-05-31 09:50:00+05:30,1406.3,1406.95,1404.0,1406.0,159693,,,,
2024-05-31 09:55:00+05:30,1406.0,1409.0,1405.0,1406.2,137151,,,,
2024-05-31 10:00:00+05:30,1406.15,1406.15,1402.95,1404.0,145969,,,,
2024-05-31 10:05:00+05:30,1403.95,1405.2,1400.5,1402.45,338044,,,,
2024-05-31 10:10:00+05:30,1402.45,1404.1,1400.95,1403.65,183977,,,,
2024-05-31 10:15:00+05:30,1403.15,1407.55,1402.6,1406.5,202111,,,,
2024-05-31 10:20:00+05:30,1406.75,1407.95,1404.05,1404.35,275188,,,,
2024-05-31 10:25:00+05:30,1404.35,1408.0,1404.3,1406.2,257704,,,,
2024-05-31 10:30:00+05:30,1407.15,1410.55,1406.3,1409.4,300823,,,,
2024-05-31 10:35:00+05:30,1409.35,1412.65,1408.0,1411.7,394769,,,,
2024-05-31 10:40:00+05:30,1411.15,1412.4,1410.4,1410.95,254669,,,,
2024-05-31 10:45:00+05:30,1410.9,1412.4,1409.7,1411.45,280132,,,,
2024-05-31 10:50:00+05:30,1411.85,1412.9,1410.7,1411.5,260965,1408.4475,1415.5712963895667,1401.3237036104333,14.247592779133356
2024-05-31 10:55:00+05:30,1410.9,1413.45,1410.8,1412.8,235326,1408.4225000000001,1415.4812162430576,1401.3637837569427,14.117432486114922
2024-05-31 11:00:00+05:30,1412.6,1414.0,1411.2,1414.0,209045,1408.5625,1415.939889443428,1401.185110556572,14.754778886856002
2024-05-31 11:05:00+05:30,1413.95,1420.35,1413.35,1420.1,487888,1408.895,1417.6029790996536,1400.1870209003464,17.41595819930717
2024-05-31 11:10:00+05:30,1420.0,1420.6,1417.6,1418.25,520545,1409.0925,1418.4377273915622,1399.7472726084377,18.69045478312455
2024-05-31 11:15:00+05:30,1419.55,1421.1,1419.15,1420.0,308591,1409.6025,1420.089991358757,1399.1150086412429,20.974982717514195
2024-05-31 11:20:00+05:30,1420.45,1420.9,1417.8,1420.9,402506,1410.3075000000001,1421.7946787223848,1398.8203212776154,22.97435744476934
2024-05-31 11:25:00+05:30,1420.85,1423.65,1419.45,1423.1,311331,1411.175,1423.7257171109864,1398.6242828890136,25.101434221972795
2024-05-31 11:30:00+05:30,1423.5,1425.8,1420.3,1425.35,499121,1412.1425000000002,1425.875899979612,1398.4091000203882,27.466799959223863
2024-05-31 11:35:00+05:30,1425.45,1425.75,1422.25,1425.1,437872,1413.0875,1427.6322885856073,1398.542711414393,29.089577171214387
2024-05-31 11:40:00+05:30,1425.0,1425.6,1422.4,1423.1,263891,1414.0425,1428.5833484965633,1399.5016515034367,29.08169699312657
2024-05-31 11:45:00+05:30,1423.15,1425.0,1421.55,1423.9,213555,1415.115,1429.2356267566283,1400.9943732433717,28.241253513256652
2024-05-31 11:50:00+05:30,1423.9,1425.0,1423.0,1423.7,224332,1416.1174999999998,1429.6756442314206,1402.559355768579,27.116288462841567
2024-05-31 11:55:00+05:30,1423.7,1424.85,1421.4,1423.2,218729,1416.9524999999999,1430.0889940147667,1403.816005985233,26.272988029533735
2024-05-31 12:00:00+05:30,1423.2,1424.25,1421.45,1422.95,226609,1417.8825000000002,1429.9048656158018,1405.8601343841985,24.044731231603237
2024-05-31 12:05:00+05:30,1423.55,1424.0,1421.45,1423.45,205142,1418.745,1429.7206503224184,1407.7693496775814,21.95130064483692
2024-05-31 12:10:00+05:30,1423.5,1426.55,1422.2,1426.2,215988,1419.585,1430.1345070974905,1409.0354929025095,21.09901419498101
2024-05-31 12:15:00+05:30,1425.6,1430.0,1425.25,1429.6,240778,1420.48,1431.2370163149453,1409.7229836850547,21.514032629890607
2024-05-31 12:20:00+05:30,1429.95,1431.75,1428.4,1430.0,235171,1421.4325000000001,1432.0176913067264,1410.8473086932738,21.170382613452603
2024-05-31 12:25:00+05:30,1430.5,1431.35,1428.65,1430.35,240939,1422.3775,1432.5975036692748,1412.1574963307253,20.44000733854955
2024-05-31 12:30:00+05:30,1430.0,1433.75,1429.7,1433.0,263825,1423.4524999999999,1433.3887706786795,1413.5162293213202,19.872541357359296
2024-05-31 12:35:00+05:30,1433.15,1433.5,1431.5,1432.4,241099,1424.4325000000001,1433.8242131025168,1415.0407868974835,18.783426205033265
2024-05-31 12:40:00+05:30,1431.85,1432.75,1428.5,1429.65,183285,1425.215,1433.5475926337472,1416.8824073662527,16.665185267494508
2024-05-31 12:45:00+05:30,1429.75,1430.05,1427.15,1428.35,172760,1425.6275,1433.7197478335738,1417.5352521664263,16.18449566714753
2024-05-31 12:50:00+05:30,1428.75,1429.95,1426.95,1429.65,180299,1426.1975,1433.71650758079,1418.67849241921,15.038015161580006
2024-05-31 12:55:00+05:30,1429.2,1430.6,1427.15,1427.6,243531,1426.5775,1433.553851123616,1419.6011488763843,13.952702247231628
2024-05-31 13:00:00+05:30,1427.6,1428.95,1425.1,1426.95,226153,1426.8799999999999,1433.3518158193797,1420.40818418062,12.943631638759598
2024-05-31 13:05:00+05:30,1426.95,1428.65,1424.75,1428.5,226510,1427.15,1433.415780079126,1420.884219920874,12.531560158251978
