date,open,high,low,close,volume,sma,fast,slow,macd,signal_sma,signal_ma
2024-05-31 13:00:00+05:30,1427.6,1428.95,1425.1,1426.95,226153,1424.7557692307694,1427.9018177589144,1422.9191477225263,4.982670036388072,6.439879064031402,
2024-05-31 13:05:00+05:30,1426.95,1428.65,1424.75,1428.5,226510,1425.3596153846154,1427.9938457960045,1423.3325441875243,4.661301608480244,6.1636077564351375,6.439879064031402
2024-05-31 13:10:00+05:30,1428.7,1430.1,1427.55,1427.55,198419,1425.8807692307694,1427.9255618273885,1423.6449483217816,4.28061350560688,5.852097352657893,6.008025952346498
2024-05-31 13:15:00+05:30,1427.4,1429.0,1426.2,1428.75,196000,1426.2134615384616,1428.0523984693286,1424.023100297946,4.029298171382607,5.50367577809493,5.61228039615372
2024-05-31 13:20:00+05:30,1428.8,1429.55,1424.1,1426.7,352697,1426.5384615384614,1427.844337166355,1424.2213891647648,3.6229480015902027,5.117453642908231,5.214413917241016
2024-05-31 13:25:00+05:30,1426.5,1426.5,1424.1,1426.05,208181,1426.771153846154,1427.5682852946081,1424.3568418192267,3.2114434753814294,4.724630561005167,4.813819828869098
2024-05-31 13:30:00+05:30,1426.1,1429.75,1424.2,1429.7,178666,1427.1096153846154,1427.89624140313,1424.7526313140988,3.143610089031199,4.374987057394467,4.479777880901518
2024-05-31 13:35:00+05:30,1429.6,1431.0,1427.0,1427.5,224306,1427.2788461538462,1427.835281187264,1424.9561401056471,2.879141081616808,4.032135773601289,4.159650521044576
2024-05-31 13:40:00+05:30,1427.5,1432.9,1424.2,1432.9,282041,1427.569230769231,1428.6144686969158,1425.5445741718954,3.069894525020345,3.764546721610865,3.9416993218397303
2024-05-31 13:45:00+05:30,1432.75,1434.5,1430.05,1433.6,288213,1427.8961538461538,1429.3814735127748,1426.1412723813846,3.240201131390222,3.570939065499993,3.8013996837498287
2024-05-31 13:50:00+05:30,1433.65,1433.9,1431.55,1432.9,311176,1428.2730769230768,1429.9227852800402,1426.6419188716525,3.2808664083877375,3.4175573766008256,3.6972930286774104
2024-05-31 13:55:00+05:30,1432.9,1434.85,1430.65,1434.3,261233,1428.673076923077,1430.5962029292648,1427.209184140419,3.3870187888458076,3.318269074738484,3.63523818071109
2024-05-31 14:00:00+05:30,1434.7,1436.75,1433.0,1435.7,317838,1429.1346153846155,1431.3814024786086,1427.838133463351,3.5432690152576924,3.2642658351690494,3.61684434762041
2024-05-31 14:05:00+05:30,1435.7,1436.05,1432.9,1434.4,283049,1429.5653846153848,1431.8458020972841,1428.3241976512509,3.5216044460332796,3.253005440107169,3.5977963673029842
2024-05-31 14:10:00+05:30,1434.4,1435.7,1432.65,1433.6,270593,1429.975,1432.115678697702,1428.7149978252323,3.400680872469593,3.2740318175614096,3.558373268336306
2024-05-31 14:15:00+05:30,1434.3,1434.4,1429.3,1429.95,259653,1430.225,1431.782497359594,1428.8064794678078,2.976017891786114,3.2554104623119553,3.4419021930262677
2024-05-31 14:20:00+05:30,1430.15,1433.3,1429.75,1432.45,242488,1430.4653846153847,1431.8851900735026,1429.0763698775997,2.808820195902854,3.2475970305659607,3.3152857936015847
2024-05-31 14:25:00+05:30,1432.45,1433.95,1430.3,1430.3,222519,1430.4923076923076,1431.6413146775792,1429.1670091459257,2.474305531653499,3.181420475747422,3.1470897412119676
2024-05-31 14:30:00+05:30,1431.05,1432.45,1429.05,1429.85,272508,1430.4865384615384,1431.3657278041055,1429.2176010610424,2.1481267430631306,3.060078877044412,2.9472971415822
2024-05-31 14:35:00+05:30,1429.6,1432.7,1428.75,1431.3,286039,1430.5230769230768,1431.355615834243,1429.3718528342986,1.9837629999444744,2.9159562761062716,2.754590313254655
2024-05-31 14:40:00+05:30,1431.25,1432.0,1430.05,1431.45,256905,1430.4634615384616,1431.3701364751287,1429.5257896613875,1.84434681374114,2.74454827887242,2.572541613351952
2024-05-31 14:45:00+05:30,1431.5,1432.4,1430.0,1430.9,241463,1430.405769230769,1431.2978077866474,1429.6275830198033,1.6702247668440577,2.5364322512709045,2.3920782440503734
2024-05-31 14:50:00+05:30,1430.9,1432.35,1428.5,1431.2,247759,1430.4653846153847,1431.2827604348554,1429.7440583516698,1.5387020831856262,2.3161097665100545,2.221403011877424
2024-05-31 14:55:00+05:30,1431.2,1432.2,1428.35,1429.55,218886,1430.5115384615383,1431.016181906416,1429.7296836589535,1.2864982474625322,2.0812005859537144,2.0344220589944455
2024-05-31 15:00:00+05:30,1429.45,1429.6,1410.85,1412.85,3149605,1429.8653846153845,1428.2213846900443,1428.4793367212533,-0.25795203120901533,1.721870594509811,1.5759472409537534
2024-05-31 15:05:00+05:30,1412.85,1413.1,1403.55,1404.35,3239941,1428.9711538461538,1424.548863968499,1426.691978445605,-2.1431144771058825,1.1716556308421735,0.8321348973418262
2024-05-31 15:10:00+05:30,1404.65,1406.2,1401.85,1405.2,2885864,1428.1346153846155,1421.572115665653,1425.099980042227,-3.527864376573916,0.5047478632613497,-0.039864957441322346
2024-05-31 15:15:00+05:30,1405.1,1405.7,1400.0,1400.7,3125822,1427.0653846153848,1418.3610209478602,1423.292574113173,-4.931553165312835,-0.2818832376693131,-1.0182025990156247
2024-05-31 15:20:00+05:30,1400.75,1406.0,1400.65,1404.35,3082596,1426.173076923077,1416.205479263574,1421.8894204751603,-5.683941211586216,-1.1338503722838342,-1.951350321529743
