date,open,high,low,close,volume
2024-05-31 09:15:00+05:30,1409.8,1414.15,1405.1,1413.3,640646
2024-05-31 09:20:00+05:30,1414.0,1414.75,1409.7,1411.2,564481
2024-05-31 09:25:00+05:30,1411.25,1415.45,1410.4,1413.45,484983
2024-05-31 09:30:00+05:30,1412.95,1414.7,1412.6,1414.3,610608
2024-05-31 09:35:00+05:30,1414.3,1414.3,1407.65,1409.8,239481
2024-05-31 09:40:00+05:30,1409.65,1409.85,1406.5,1406.8,176826
2024-05-31 09:45:00+05:30,1406.95,1407.15,1405.0,1405.75,202870
2024-05-31 09:50:00+05:30,1406.3,1406.95,1404.0,1406.0,159693
2024-05-31 09:55:00+05:30,1406.0,1409.0,1405.0,1406.2,137151
2024-05-31 10:00:00+05:30,1406.15,1406.15,1402.95,1404.0,145969
2024-05-31 10:05:00+05:30,1403.95,1405.2,1400.5,1402.45,338044
2024-05-31 10:10:00+05:30,1402.45,1404.1,1400.95,1403.65,183977
2024-05-31 10:15:00+05:30,1403.15,1407.55,1402.6,1406.5,202111
2024-05-31 10:20:00+05:30,1406.75,1407.95,1404.05,1404.35,275188
2024-05-31 10:25:00+05:30,1404.35,1408.0,1404.3,1406.2,257704
2024-05-31 10:30:00+05:30,1407.15,1410.55,1406.3,1409.4,300823
2024-05-31 10:35:00+05:30,1409.35,1412.65,1408.0,1411.7,394769
2024-05-31 10:40:00+05:30,1411.15,1412.4,1410.4,1410.95,254669
2024-05-31 10:45:00+05:30,1410.9,1412.4,1409.7,1411.45,280132
2024-05-31 10:50:00+05:30,1411.85,1412.9,1410.7,1411.5,260965
2024-05-31 10:55:00+05:30,1410.9,1413.45,1410.8,1412.8,235326
2024-05-31 11:00:00+05:30,1412.6,1414.0,1411.2,1414.0,209045
2024-05-31 11:05:00+05:30,1413.95,1420.35,1413.35,1420.1,487888
2024-05-31 11:10:00+05:30,1420.0,1420.6,1417.6,1418.25,520545
2024-05-31 11:15:00+05:30,1419.55,1421.1,1419.15,1420.0,308591
2024-05-31 11:20:00+05:30,1420.45,1420.9,1417.8,1420.9,402506
2024-05-31 11:25:00+05:30,1420.85,1423.65,1419.45,1423.1,311331
2024-05-31 11:30:00+05:30,1423.5,1425.8,1420.3,1425.35,499121
2024-05-31 11:35:00+05:30,1425.45,1425.75,1422.25,1425.1,437872
2024-05-31 11:40:00+05:30,1425.0,1425.6,1422.4,1423.1,263891
2024-05-31 11:45:00+05:30,1423.15,1425.0,1421.55,1423.9,213555
2024-05-31 11:50:00+05:30,1423.9,1425.0,1423.0,1423.7,224332
2024-05-31 11:55:00+05:30,1423.7,1424.85,1421.4,1423.2,218729
2024-05-31 12:00:00+05:30,1423.2,1424.25,1421.45,1422.95,226609
2024-05-31 12:05:00+05:30,1423.55,1424.0,1421.45,1423.45,205142
2024-05-31 12:10:00+05:30,1423.5,1426.55,1422.2,1426.2,215988
2024-05-31 12:15:00+05:30,1425.6,1430.0,1425.25,1429.6,240778
2024-05-31 12:20:00+05:30,1429.95,1431.75,1428.4,1430.0,235171
2024-05-31 12:25:00+05:30,1430.5,1431.35,1428.65,1430.35,240939
2024-05-31 12:30:00+05:30,1430.0,1433.75,1429.7,1433.0,263825
2024-05-31 12:35:00+05:30,1433.15,1433.5,1431.5,1432.4,241099
2024-05-31 12:40:00+05:30,1431.85,1432.75,1428.5,1429.65,183285
2024-05-31 12:45:00+05:30,1429.75,1430.05,1427.15,1428.35,172760
2024-05-31 12:50:00+05:30,1428.75,1429.95,1426.95,1429.65,180299
2024-05-31 12:55:00+05:30,1429.2,1430.6,1427.15,1427.6,243531
2024-05-31 13:00:00+05:30,1427.6,1428.95,1425.1,1426.95,226153
2024-05-31 13:05:00+05:30,1426.95,1428.65,1424.75,1428.5,226510
2024-05-31 13:10:00+05:30,1428.7,1430.1,1427.55,1427.55,198419
2024-05-31 13:15:00+05:30,1427.4,1429.0,1426.2,1428.75,196000
2024-05-31 13:20:00+05:30,1428.8,1429.55,1424.1,1426.7,352697
2024-05-31 13:25:00+05:30,1426.5,1426.5,1424.1,1426.05,208181
2024-05-31 13:30:00+05:30,1426.1,1429.75,1424.2,1429.7,178666
2024-05-31 13:35:00+05:30,1429.6,1431.0,1427.0,1427.5,224306
2024-05-31 13:40:00+05:30,1427.5,1432.9,1424.2,1432.9,282041
2024-05-31 13:45:00+05:30,1432.75,1434.5,1430.05,1433.6,288213
2024-05-31 13:50:00+05:30,1433.65,1433.9,1431.55,1432.9,311176
2024-05-31 13:55:00+05:30,1432.9,1434.85,1430.65,1434.3,261233
2024-05-31 14:00:00+05:30,1434.7,1436.75,1433.0,1435.7,317838
2024-05-31 14:05:00+05:30,1435.7,1436.05,1432.9,1434.4,283049
2024-05-31 14:10:00+05:30,1434.4,1435.7,1432.65,1433.6,270593
2024-05-31 14:15:00+05:30,1434.3,1434.4,1429.3,1429.95,259653
2024-05-31 14:20:00+05:30,1430.15,1433.3,1429.75,1432.45,242488
2024-05-31 14:25:00+05:30,1432.45,1433.95,1430.3,1430.3,222519
2024-05-31 14:30:00+05:30,1431.05,1432.45,1429.05,1429.85,272508
2024-05-31 14:35:00+05:30,1429.6,1432.7,1428.75,1431.3,286039
2024-05-31 14:40:00+05:30,1431.25,1432.0,1430.05,1431.45,256905
2024-05-31 14:45:00+05:30,1431.5,1432.4,1430.0,1430.9,241463
2024-05-31 14:50:00+05:30,1430.9,1432.35,1428.5,1431.2,247759
2024-05-31 14:55:00+05:30,1431.2,1432.2,1428.35,1429.55,218886
2024-05-31 15:00:00+05:30,1429.45,1429.6,1410.85,1412.85,3149605
2024-05-31 15:05:00+05:30,1412.85,1413.1,1403.55,1404.35,3239941
